AGAF, Afutara Aerodrome
OMUQ, Umm Al Quwain
OOBR, Buraimi Airport
OOFD, Fahud Airport
OOFQ, Firq Air Base
OOGB, Qarn Alam Airport
OOHA, Haima Airport
OOIA, Ibra Airport
OOIZ, Izki Air Base
OOKB, Khasab Air Base
OOLK, Lekhwair Airport
OOMA, Masirah Air Base
OOMS, Muscat International Airport
OOMX, Marmul Airport
OORQ, Rustaq Airport
OOSA, Salalah Airport
OOSH, Sohar Airport
OOSQ, Saiq Airport
OOSR, Sur Airport
OOTH, Thumrait Air Base
OOYB, Yibal Airport
OPAB, Abbottabad Airport
OPBG, Bhagatanwala Airport
OPBL, Bela Airport
OPBN, Bannu Airport
OPBR, Bahawalnagar Airport
OPBW, Bahawalpur Airport
OPCH, Chitral Airport
OPCL, Chilas Airport
OPCT, Chirat Airport
OPDB, Dalbandin Airport
OPDD, Dadu Airport
OPDG, Dera Ghazi Khan Airport
OPDI, Dera Ismael Khan Airport
OPDK, Daharki Airport
OPFA, Faisalabad International Airport
OPGD, Gwadar International Airport
OPGT, Gilgit Airport
OPJA, Shahbaz Air Base
OPJI, Jiwani Airport
OPKA, Cape Monz Airport
OPKC, Jinnah International Airport
OPKD, Hyderabad Airport
OPKE, Chore Airport
OPKF, Gharo Airport
OPKH, Khuzdar Airport
OPKK, Korangi Creek Airport
OPKL, Kalat Airport
OPKN, Kharan Airport
OPKT, Kohat Airport
OPLA, Alama Iqbal International Airport
OPLH, Walton Airport
OPLL, Loralai Airport
OPMA, Mangla Airport
OPMF, Muzaffarabad Airport
OPMI, Mianwali Air Base
OPMJ, Moenjodaro Airport
OPMK, Mirpur Khas Air Base
OPMN, Miram Shah Airport
OPMP, Sindhri Tharparkar Airport
OPMR, Masroor Air Base
OPMS, Minhas Air Base
OPMT, Multan International Airport
OPNH, Nawabshah Airport
OPNK, Nushki Airport
OPOK, Okara Cantonment Airstrip
OPOR, Ormara Airport
OPPC, Parachinar Airport
OPPG, Panjgur Airport
OPPI, Pasni Airport
OPPN, Pishin Airport
OPPS, Peshawar International Airport
OPQS, Qasim Airport
OPQT, Quetta International Airport
OPRK, Shaikh Zaid Airport
OPRN, Benazir Bhutto International Airport
OPRQ, Rafiqui Air Base
OPRS, Risalpur Air Base
OPRT, Rawalakot Airport
OPSB, Sibi Airport
OPSD, Skardu Airport
OPSF, Faisal Air Base
OPSK, Sukkur Airport
OPSN, Sehwan Sharif Airport
OPSP, Shekhupura Airport
OPSR, Mushaf Air Base
OPSS, Saidu Sharif Airport
OPST, Sialkot Airport
OPSU, Sui Airport
OPSW, Sahiwal Airport
OPTA, Tarbela Dam Airport
OPTH, Talhar Airport
OPTT, Taftan Airport
OPTU, Turbat International Airport
OPWN, Wana Airport
OPZB, Zhob Airport
ORAA, Al Asad Air Base
ORAT, Al Taqaddum Air Base
ORBB, Bamarni Airport
ORBD, Balad Southeast Air Base
ORBI, Baghdad International Airport
ORBM, Mosul International Airport
ORBR, Bashur Airfield
ORER, Erbil International Airport
ORKK, Kirkuk Air Base
ORMM, Basrah International Airport
ORQW, Qayyarah West Airport
ORSH, Al Sahra Army Air Field
ORSU, Sulaymaniyah International Airport
ORTF, Tall Afar Army Air Field
ORTI, Al Taji Army Air Field
ORTL, Ali Air Base
ORUB, Ubaydah Bin Al Jarrah Airport
ORUQ, Umm Qasr Airport
OSAP, Aleppo International Airport
OSDI, Damascus International Airport
OSDZ, Deir ez-Zor Airport
OSKL, Kamishly Airport
OSLK, Bassel Al-Assad International Airport
OSPR, Palmyra Airport
OTBD, Doha International Airport
OTBH, Al Udeid Air Base
OTBK, Al Khawr Airport
OYAA, Aden International Airport
OYAB, Ibb Airport
OYAT, Ataq Airport
OYBA, Al Badie Airport
OYBI, Al-Bayda Airport
OYBN, Beihan Airport
OYBQ, Al-Bough Airport
OYGD, Al Ghaidah International Airport
OYHD, Hodeidah International Airport
OYKM, Kamaran Airport
OYMB, Mareb Airport
OYQN, Qishn Airport
OYRN, Mukalla International Airport
OYRT, Barat Airport
OYSF, As Salif Airport
OYSH, Sadah Airport
OYSN, Sana'a International Airport
OYSQ, Socotra International Airport
OYSY, Sayun International Airport
OYTZ, Ta'izz International Airport
OYZM, Al-Hazm Airport
PAAK, Atka Airport
PAAL, Port Moller Airport
PAAM, Driftwood Bay Air Force Station Airport
PAAN, Gold King Creek Airport
PAAQ, Palmer Municipal Airport
PABA, Barter Island LRRS Airport
PABE, Bethel Airport
PABG, Beluga Airport
PABI, Allen Army Airfield
PABL, Buckland Airport
PABM, Big Mountain Airport
PABN, Devils Mountain Lodge Airport
PABP, Badami Airport
PABR, Wiley Post Will Rogers Memorial Airport
PABT, Bettles Airport
PABU, Bullen Point Air Force Station Airport
PABV, Birchwood Airport
PACD, Cold Bay Airport
PACE, Central Airport
PACH, Chuathbaluk Airport
PACI, Chalkyitsik Airport
PACK, Chefornak Airport
PACL, Clear Airport
PACM, Scammon Bay Airport
PACR, Circle City /New/ Airport
PACS, Cape Sarichef Airport
PACV, Merle K (Mudhole) Smith Airport
PACX, Coldfoot Airport
PACY, Yakataga Airport
PACZ, Cape Romanzof LRRS Airport
PADE, Deering Airport
PADG, Red Dog Airport
PADK, Adak Airport
PADL, Dillingham Airport
PADM, Marshall Don Hunter Sr Airport
PADQ, Kodiak Airport
PADU, Unalaska Airport
PADY, Kongiganak Airport
PAED, Elmendorf Air Force Base
PAEE, Eek Airport
PAEG, Eagle Airport
PAEH, Cape Newenham LRRS Airport
PAEI, Eielson Air Force Base
PAEM, Emmonak Airport
PAEN, Kenai Municipal Airport
PAEW, Newtok Airport
PAFA, Fairbanks International Airport
PAFB, Ladd AAF Airfield
PAFE, Kake Airport
PAFL, Tin Creek Airport
PAFM, Ambler Airport
PAFS, Nikolai Airport
PAFV, Five Mile Airport
PAFW, Farewell Airport
PAGA, Edward G. Pitka Sr Airport
PAGB, Galbraith Lake Airport
PAGG, Kwigillingok Airport
PAGH, Shungnak Airport
PAGK, Gulkana Airport
PAGL, Golovin Airport
PAGM, Gambell Airport
PAGQ, Big Lake Airport
PAGS, Gustavus Airport
PAGT, Nightmute Airport
PAGY, Skagway Airport
PAGZ, Granite Mountain Air Station
PAHC, Holy Cross Airport
PAHE, Tahneta Pass Airport
PAHL, Huslia Airport
PAHN, Haines Airport
PAHO, Homer Airport
PAHP, Hooper Bay Airport
PAHU, Hughes Airport
PAHV, Healy River Airport
PAHX, Shageluk Airport
PAIG, Igiugig Airport
PAII, Egegik Airport
PAIK, Bob Baker Memorial Airport
PAIL, Iliamna Airport
PAIM, Indian Mountain LRRS Airport
PAIN, Mc Kinley National Park Airport
PAIW, Wales Airport
PAJC, Chignik Airport
PAJN, Juneau International Airport
PAJO, Johnstone Point Airport
PAJV, Jonesville Mine Airport
PAJZ, Koliganek Airport
PAKD, Kodiak Municipal Airport
PAKF, False Pass Airport
PAKH, Akhiok Airport
PAKI, Kipnuk Airport
PAKK, Koyuk Alfred Adams Airport
PAKL, Kulik Lake Airport
PAKN, King Salmon Airport
PAKO, Nikolski Air Station
PAKP, Anaktuvuk Pass Airport
PAKT, Ketchikan International Airport
PAKU, Ugnu-Kuparuk Airport
PAKV, Kaltag Airport
PAKW, Klawock Airport
PAKY, Karluk Airport
PALB, Larsen Bay Airport
PALG, Kalskag Airport
PALJ, Port Alsworth Airport
PALN, Lonely Air Station
PALP, Alpine Airstrip
PALR, Chandalar Lake Airport
PALU, Cape Lisburne LRRS Airport
PAMB, Manokotak Airport
PAMC, McGrath Airport
PAMD, Middleton Island Airport
PAMH, Minchumina Airport
PAMK, St Michael Airport
PAML, Manley Hot Springs Airport
PAMO, Mountain Village Airport
PAMR, Merrill Field
PAMX, Mc Carthy Airport
PAMY, Mekoryuk Airport
PANA, Napakiak Airport
PANC, Ted Stevens Anchorage International Airport
PANI, Aniak Airport
PANN, Nenana Municipal Airport
PANO, Nondalton Airport
PANT, Annette Island Airport
PANU, Nulato Airport
PANV, Anvik Airport
PANW, New Stuyahok Airport
PAOB, Kobuk Airport
PAOC, Portage Creek Airport
PAOH, Hoonah Airport
PAOM, Nome Airport
PAOO, Toksook Bay Airport
PAOR, Northway Airport
PAOT, Ralph Wien Memorial Airport
PAOU, Nelson Lagoon Airport
PAPB, St George Airport
PAPC, Port Clarence Coast Guard Station
PAPE, Perryville Airport
PAPG, Petersburg James A Johnson Airport
PAPH, Port Heiden Airport
PAPK, Napaskiak Airport
PAPM, Platinum Airport
PAPN, Pilot Point Airport
PAPO, Point Hope Airport
PAPR, Prospect Creek Airport
PAQH, Quinhagak Airport
PAQT, Nuiqsut Airport
PARC, Arctic Village Airport
PARS, Russian Mission Airport
PARY, Ruby Airport
PASA, Savoonga Airport
PASC, Deadhorse Airport
PASD, Sand Point Airport
PASH, Shishmaref Airport
PASI, Sitka Rocky Gutierrez Airport
PASK, Selawik Airport
PASL, Sleetmute Airport
PASM, St Mary's Airport
PASN, St Paul Island Airport
PASO, Seldovia Airport
PASP, Sheep Mountain Airport
PAST, Summit Airport
PASV, Sparrevohn LRRS Airport
PASW, Skwentna Airport
PASX, Soldotna Airport
PASY, Eareckson Air Station
PATA, Ralph M Calhoun Memorial Airport
PATC, Tin City Long Range Radar Station Airport
PATE, Teller Airport
PATG, Togiak Airport
PATJ, Tok Airport
PATK, Talkeetna Airport
PATL, Tatalina LRRS Airport
PATQ, Atqasuk Edward Burnell Sr Memorial Airport
PATW, Cantwell Airport
PAUK, Alakanuk Airport
PAUM, Umiat Airport
PAUN, Unalakleet Airport
PAUO, Willow Airport
PAUT, Akun Airport
PAVA, Chevak Airport
PAVC, King Cove Airport
PAVD, Valdez Pioneer Field
PAVE, Venetie Airport
PAVL, Kivalina Airport
PAWB, Beaver Airport
PAWD, Seward Airport
PAWG, Wrangell Airport
PAWI, Wainwright Airport
PAWM, White Mountain Airport
PAWN, Noatak Airport
PAWR, Whittier Airport
PAWS, Wasilla Airport
PAWT, Wainwright Air Station
PAXK, Paxson Airport
PAYA, Yakutat Airport
PAZK, Skelton Airport
PCIS, Canton Airport
PFAK, Akiak Airport
PFAL, Allakaket Airport
PFCB, Chenega Bay Airport
PFCL, Clarks Point Airport
PFEL, Elim Airport
PFKA, Kasigluk Airport
PFKK, Kokhanok Airport
PFKO, Kotlik Airport
PFKT, Brevig Mission Airport
PFKU, Koyukuk Airport
PFKW, Kwethluk Airport
PFNO, Robert (Bob) Curtis Memorial Airport
PFSH, Shaktoolik Airport
PFTO, Tok Junction Airport
PFWS, South Naknek Nr 2 Airport
PFYU, Fort Yukon Airport
PGRO, Rota International Airport
PGSN, Francisco C. Ada Saipan International Airport
PGUA, Andersen Air Force Base
PGUM, Antonio B. Won Pat International Airport
PGWT, Tinian International Airport
PHBK, Barking Sands Airport
PHDH, Dillingham Airfield
PHHF, French Frigate Shoals Airport
PHHI, Wheeler Army Airfield
PHHN, Hana Airport
PHJH, Kapalua Airport
PHJR, Kalaeloa (John Rodgers Field) Airport
PHKO, Kona International At Keahole Airport
PHLI, Lihue Airport
PHLU, Kalaupapa Airport
PHMK, Molokai Airport
PHMU, Waimea Kohala Airport
PHNG, Kaneohe Bay MCAS (Marion E. Carl Field) Airport
PHNL, Honolulu International Airport
PHNP, Ford Island Naval Auxiliary Landing Field
PHNY, Lanai Airport
PHOG, Kahului Airport
PHPA, Port Allen Airport
PHSF, Bradshaw Army Airfield
PHTO, Hilo International Airport
PHUP, Upolu Airport
PKMA, Eniwetok Airport
PKMJ, Marshall Islands International Airport
PKRO, Dyess Army Air Field
PKSA, Kaieteur International Airport
PKWA, Bucholz Army Air Field
PLCH, Cassidy International Airport
PLFA, Tabuaeran Island Airport
PLPA, Palmyra (Cooper) Airport
PLWN, Washington Island Airstrip
PMDY, Henderson Field
POLI, Oliktok LRRS Airport
PPIZ, Point Lay Lrrs Airport
PTKK, Chuuk International Airport
PTPN, Pohnpei International Airport
PTRO, Babelthuap Airport
PTSA, Kosrae International Airport
PTYA, Yap International Airport
PWAK, Wake Island Airfield
RBLA, Sierra Blanca Airport
RCAY, Gangshan Air Force Base
RCBS, Kinmen Airport
RCDC, Pingtung South Airport
RCDI, Longtan Air Base
RCFG, Matsu Nangan Airport
RCFN, Taitung Airport
RCGI, Lyudao Airport
RCGM, Taoyuan Air Base
RCKH, Kaohsiung International Airport
RCKU, Chiayi Airport
RCKW, Hengchun Airport
RCLG, Taichung Airport
RCLY, Lanyu Airport
RCMQ, Taichung Ching Chuang Kang Airport
RCMT, Matsu Beigan Airport
RCNN, Tainan Airport
RCPO, Hsinchu Air Base
RCQC, Makung Airport
RCQS, Chihhang Air Base
RCSQ, Pingtung North Airport
RCSS, Taipei Songshan Airport
RCTP, Taiwan Taoyuan International Airport
RCWA, Wang-an Airport
RCYU, Hualien Airport
RHST, Rheinstetten Airport
RJAA, Narita International Airport
RJAF, Matsumoto Airport
RJAH, Hyakuri Airport
RJAK, Kasumigaura Airport
RJAM, Minami Torishima Airport
RJAN, Nijima Airport
RJAW, Iwo Jima Airport
RJAZ, Kozushima Airport
RJBB, Kansai International Airport
RJBD, Nanki Shirahama Airport
RJBE, Kobe Airport
RJBH, Hiroshimanishi Airport
RJBK, Kohnan Airport
RJBT, Tajima Airport
RJCA, Asahikawa Airport
RJCB, Tokachi-Obihiro Airport
RJCC, New Chitose Airport
RJCH, Hakodate Airport
RJCJ, Chitose Air Base
RJCK, Kushiro Airport
RJCM, Memanbetsu Airport
RJCN, Nakashibetsu Airport
RJCO, Okadama Airport
RJCR, Rebun Airport Airport
RJCT, Tokachi Airport
RJCW, Wakkanai Airport
RJDA, Amakusa Airport
RJDB, Iki Airport
RJDC, Yamaguchi Ube Airport
RJDK, Kamigoto Airport
RJDM, Metabaru Air Base
RJDO, Ojika Airport
RJDT, Tsushima Airport
RJEB, Monbetsu Airport
RJEC, Asahikawa Airport
RJEO, Okushiri Airport
RJER, Rishiri Airport
RJFA, Ashiya Airport
RJFC, Yakushima Airport
RJFE, Fukue Airport
RJFF, Fukuoka Airport
RJFG, New Tanegashima Airport
RJFK, Kagoshima Airport
RJFM, Miyazaki Airport
RJFN, Nyutabaru Airport
RJFO, Oita Airport
RJFR, Kitaky?sh? Airport
RJFS, Saga Airport
RJFT, Kumamoto Airport
RJFU, Nagasaki Airport
RJFY, Kanoya Airport
RJFZ, Tsuiki Airport
RJGG, Chubu Centrair International Airport
RJKA, Amami Airport
RJKB, Okierabu Airport
RJKI, Kikai Airport
RJKN, Tokunoshima Airport
RJNA, Nagoya Airport
RJNF, Fukui Airport
RJNG, Gifu Airport
RJNH, Hamamatsu Airport
RJNK, Komatsu Airport
RJNO, Oki Airport
RJNS, Mt. Fuji Shizuoka Airport
RJNT, Toyama Airport
RJNW, Noto Airport
RJNY, Shizuhama Airport
RJOA, Hiroshima Airport
RJOB, Okayama Airport
RJOC, Izumo Airport
RJOE, Akeno Airport
RJOF, Hofu Airport
RJOH, Miho Yonago Airport
RJOI, Iwakuni Marine Corps Air Station
RJOK, K?chi Ry?ma Airport
RJOM, Matsuyama Airport
RJOO, Osaka International Airport
RJOR, Tottori Airport
RJOS, Tokushima Airport
RJOT, Takamatsu Airport
RJOW, Iwami Airport
RJOY, Yao Airport
RJOZ, Ozuki Airport
RJSA, Aomori Airport
RJSC, Yamagata Airport
RJSD, Sado Airport
RJSF, Fukushima Airport
RJSH, Hachinohe Airport
RJSI, Hanamaki Airport
RJSK, Akita Airport
RJSM, Misawa Air Base
RJSN, Niigata Airport
RJSO, JASDF Airport
RJSR, Odate Noshiro Airport
RJSS, Sendai Airport
RJST, Matsushima Air Base
RJSU, Sendai Kasuminom Airport
RJSY, Shonai Airport
RJTA, Atsugi Naval Air Facility
RJTC, Tachikawa Airfield
RJTE, Tateyama Airport
RJTF, Chofu Airport
RJTH, Hachijojima Airport
RJTJ, Iruma Air Base
RJTK, Kisarazu Airport
RJTL, Shimofusa Airport
RJTO, Oshima Airport
RJTQ, Miyakejima Airport
RJTR, Kastner Army Air Field
RJTT, Tokyo International Airport
RJTU, Utsunomiya Airport
RJTY, Yokota Air Base
RKJB, Muan International Airport
RKJJ, Gwangju Airport
RKJK, Kunsan Air Base
RKJU, Jeon Ju Airport
RKJY, Yeosu Airport
RKNC, A-306 Airport
RKND, Sokcho Airport
RKNN, Gangneung Airport
RKNW, Wonju Airport
RKNY, Yangyang International Airport
RKPC, Jeju International Airport
RKPD, Jeongseok Airport
RKPE, Jinhae Airport
RKPK, Gimhae International Airport
RKPS, Sacheon Air Base
RKPU, Ulsan Airport
RKRA, G 222 Airport
RKRB, G 103 Airport
RKRG, G 301 Airport
RKRK, G 213 Airport
RKRN, G 510 Airport
RKRO, G 217 Airport
RKRP, G 110 Airport
RKSG, A 511 Airport
RKSI, Incheon International Airport
RKSM, Seoul Air Base
RKSO, Osan Air Base
RKSS, Gimpo International Airport
RKSW, Suwon Airport
RKTE, Seongmu Airport
RKTH, Pohang Airport
RKTI, Jungwon Air Base
RKTN, Daegu Airport
RKTP, Seosan Air Base
RKTU, Cheongju International Airport
RKTY, Yecheon Airport
RKUC, G 505 Airport
RKUL, G 536 Airport
ROAH, Naha Airport
RODE, Ie Shima Auxiliary Air Base
RODN, Kadena Air Base
ROIG, Ishigaki Airport
ROKJ, Kumejima Airport
ROKR, Kerama Airport
ROMD, Minami Daito Airport
ROMY, Miyako Airport
RORA, Aguni Airport
RORE, Ie Jima Airport
RORH, Hateruma Airport
RORK, Kitadaito Airport
RORS, Shimojishima Airport
RORT, Tarama Airport
RORY, Yoron Airport
ROTM, Futenma Marine Corps Air Station
ROYN, Yonaguni Airport
RPLA, Pinamalayan Airport
RPLB, Subic Bay International Airport
RPLC, Diosdado Macapagal International Airport
RPLI, Laoag International Airport
RPLJ, Jomalig Island Airport
RPLL, Ninoy Aquino International Airport
RPLN, Palanan Municipal Airport
RPLO, Cuyo Airport
RPLP, Legazpi City International Airport
RPLR, Carmen Rosales Airstrip
RPLS, Sangley Point Air Base
RPLT, Itbayat Airport
RPLU, Lubang Airport
RPLV, Fort Magsaysay Airport
RPLX, Corregidor Airport
RPLY, Alabat Island Airport
RPLZ, Sorsogon
RPMA, Allah Valley Airport
RPMB, General Santos International Airport
RPMC, Awang Airport
RPMD, Francisco Bangoy International Airport
RPME, Bancasi Airport
RPMF, Bislig Airport
RPMG, Dipolog Airport
RPMH, Camiguin Airport
RPMI, Iligan Airport
RPMJ, Jolo Airport
RPML, Cagayan De Oro Airport
RPMM, Malabang Airport
RPMN, Sanga Sanga Airport
RPMO, Labo Airport
RPMP, Pagadian Airport
RPMQ, Mati National Airport
RPMR, Tambler Airport
RPMS, Surigao Airport
RPMU, Cagayan de Sulu Airport
RPMV, Ipil Airport
RPMW, Tandag Airport
RPMY, Malaybalay Airport
RPMZ, Zamboanga International Airport
RPNS, Siargao Airport
RPSB, Bantayan Airport
RPSD, Cesar Lim Rodriguez Airport
RPSM, Maasin Airport
RPUB, Loakan Airport
RPUD, Daet Airport
RPUE, Lucena Airport
RPUF, Basa Air Base
RPUG, Lingayen Airport
RPUH, San Jose Airport
RPUI, Iba Airport
RPUJ, Castillejos Airport
RPUK, Calapan Airport
RPUL, Fernando Air Base
RPUM, Mamburao Airport
RPUN, Naga Airport
RPUO, Basco Airport
RPUQ, Vigan Airport
RPUR, Dr.Juan C. Angara Airport
RPUS, San Fernando Airport
RPUT, Tuguegarao Airport
RPUU, Bulan Airport
RPUV, Virac Airport
RPUW, Marinduque Airport
RPUX, Plaridel Airport
RPUY, Cauayan Airport
RPUZ, Bagabag Airport
RPVA, Daniel Z. Romualdez Airport
RPVB, Bacolod-Silay City International Airport
RPVC, Calbayog Airport
RPVD, Sibulan Airport
RPVE, Godofredo P. Ramos Airport
RPVF, Catarman National Airport
RPVG, Guiuan Airport
RPVH, Hilongos Airport
RPVI, Iloilo International Airport
RPVJ, Moises R. Espinosa Airport
RPVK, Kalibo International Airport
RPVL, Wasig Airport
RPVM, Mactan Cebu International Airport
RPVO, Ormoc Airport
RPVP, Puerto Princesa Airport
RPVR, Roxas Airport
RPVS, Evelio Javier Airport
RPVT, Tagbilaran Airport
RPVU, Romblon Airport
RPVV, Francisco B. Reyes Airport
RPVW, Borongan Airport
RPVY, Catbalogan Airport
SAAA, San Antonio De Areco Airport
SAAC, Comodoro Pierrestegui Airport
SAAG, Gualeguaychu Airport
SAAI, Punta Indio Airport
SAAJ, Junin Airport
SAAK, Isla Martin Garcia Airport
SAAM, Mazaruca Airport
SAAN, Pergamino Airport
SAAP, General Urquiza Airport
SAAR, Islas Malvinas Airport
SAAU, Villaguay Airport
SAAV, Sauce Viejo Airport
SABE, Jorge Newbery Airpark
SABP, Coronel Pringles Airport
SACA, Cap D. Omar Dario Gelardi Airport
SACC, La Cumbre Airport
SACD, Coronel Olmedo Airport
SACE, Escuela De Aviacion Militar Airport
SACI, Pilar Airport
SACL, Laguna Larga Airport
SACM, Villa General Mitre Airport
SACN, Ascochinga Airport
SACO, Ingeniero Ambrosio Taravella Airport
SACP, Chepes Airport
SACQ, Monte Quemado Airport
SACS, Villa De Soto Airport
SACT, Chamical Airport
SACV, Villa de Maria de Rio Seco Airport
SADF, San Fernando Airport
SADG, Monte Grande Airport
SADJ, Mariano Moreno Airport
SADL, La Plata Airport
SADM, Moron Airport
SADO, Campo De Mayo Airport
SADP, El Palomar Airport
SADQ, Quilmes Airport
SADR, Merlo Airport
SADS, Aeroclub Argentino Airport
SADZ, Matanza Airport
SAEA, General Acha Airport
SAEK, Laprida Airport
SAEL, Las Flores Airport
SAEM, Miramar Airport
SAET, Trenque Lauquen Airport
SAEZ, Ministro Pistarini International Airport
SAFR, Rafaela Airport
SAFS, Sunchales Aeroclub Airport
SAFT, El Trebol Airport
SAFV, Venado Tuerto Airport
SAHC, Chos Malal Airport
SAHE, Caviahue Airport
SAHI, Cipoletti Aeroclub Airport
SAHR, Dr. Arturo H. Illia Airport
SAHS, Rincon De Los Sauces Airport
SAHV, Victorica Airport
SAHZ, Zapala Airport
SAMA, General Alvear Airport
SAMC, Cristo Redentor Airport
SAME, El Plumerillo Airport
SAMH, Valle Hermoso Airport
SAMI, San Martin Airport
SAMJ, Jachal Airport
SAML, Punta De Vacas Airport
SAMM, Comodoro D.R. Salomon Airport
SAMP, La Paz Airport
SAMQ, Mendoza Airpark
SAMR, Suboficial Ay Santiago Germano Airport
SAMS, San Carlos Airport
SAMU, Uspallata Airport
SANC, Catamarca Airport
SANE, Vicecomodoro Angel D. La Paz Aragones Airport
SANH, Las Termas Airport
SANI, Tinogasta Airport
SANL, Capitan V A Almonacid Airport
SANO, Chilecito Airport
SANT, Teniente Benjamin Matienzo Airport
SANU, Domingo Faustino Sarmiento Airport
SANW, Ceres Airport
SAOC, Area De Material Airport
SAOD, Villa Dolores Airport
SAOE, Rio Tercero Airport
SAOI, Villa Maria Airport
SAOL, Laboulaye Airport
SAOM, Marcos Juarez Airport
SAOR, Villa Reynolds Airport
SAOS, Valle Del Conlara International Airport
SAOU, Brigadier Mayor D Cesar Raul Ojeda Airport
SARC, Corrientes Airport
SARD, Resistencia (City) Airport
SARE, Resistencia International Airport
SARF, Formosa Airport
SARG, Caa Cati Airport
SARI, Cataratas Del Iguazu International Airport
SARL, Paso De Los Libres Airport
SARM, Monte Caseros Airport
SARP, Libertador Gral D Jose De San Martin Airport
SARS, Termal Airport
SARV, Villa Angela Airport
SASA, Martin Miguel De Guemes International Airport
SASJ, Gobernador Horacio Guzman International Airport
SASL, Salar De Cauchari Airport
SASM, Metan Airport
SASO, Oran Airport
SASQ, La Quiaca Airport
SASR, Rivadavia Airport
SAST, General Enrique Mosconi Airport
SATC, Clorinda Airport
SATD, El Dorado Airport
SATG, Goya Airport
SATI, Bernardo De Irigoyen Airport
SATK, Alferez Armando Rodriguez Airport
SATM, Mercedes Airport
SATO, Obera Airport
SATR, Reconquista Airport
SATU, Curuzu Cuatia Airport
SAVA, Piedra Del Aguila Airport
SAVB, El Bolson Airport
SAVC, General E. Mosconi Airport
SAVD, El Maiten Airport
SAVE, Brigadier Antonio Parodi Airport
SAVH, Las Heras Airport
SAVJ, Cabo F.A.A. H. R. Bordon Airport
SAVM, Lago Musters Airport
SAVN, Antoine De St Exupery Airport
SAVP, Paso De Los Indios Airport
SAVQ, Maquinchao Airport
SAVR, D. Casimiro Szlapelis Airport
SAVS, Sierra Grande Airport
SAVT, Almirante Marco Andres Zar Airport
SAVV, Gobernador Castello Airport
SAVY, El Tehuelche Airport
SAWA, Lago Argentino Airport
SAWB, Marambio Base
SAWC, El Calafate Airport
SAWD, Puerto Deseado Airport
SAWE, Hermes Quijada International Airport
SAWG, Piloto Civil N. Fernandez Airport
SAWH, Malvinas Argentinas Airport
SAWJ, Capitan D Daniel Vazquez Airport
SAWL, Tolwin Observatory Airport
SAWM, Rio Mayo Airport
SAWO, Estacion Aeronaval Airport
SAWP, Perito Moreno Airport
SAWR, Gobernador Gregores Airport
SAWS, Jose De San Martin Airport
SAWT, 28 De Noviembre Airport
SAWU, Santa Cruz Airport
SAWZ, Matienzo Base
SAYB, Base Belgrano II Airport
SAYE, Esperanza Base
SAYJ, Jubany Airbase
SAYO, Orcadas Base
SAYS, San Martin Base
SAZA, Azul Airport
SAZB, Comandante Espora Airport
SAZC, Brigadier D.H.E. Ruiz Airport
SAZD, Dolores Airport
SAZE, Pigue Airport
SAZF, Olavarria Airport
SAZG, General Pico Airport
SAZH, Tres Arroyos Airport
SAZI, Bolivar Airport
SAZJ, Benito Juarez Airport
SAZK, Cerro Catedral Airport
SAZL, Santa Teresita Airport
SAZM, Astor Piazzola International Airport
SAZN, Presidente Peron Airport
SAZO, Necochea Airport
SAZP, Comodoro Pedro Zanni Airport
SAZQ, Rio Colorado Airport
SAZR, Santa Rosa Airport
SAZS, San Carlos De Bariloche Airport
SAZT, Heroes De Malvinas Airport
SAZU, Puelches Airport
SAZV, Villa Gesell Airport
SAZW, Cutral-Co Airport
SAZX, Nueve De Julio Airport
SAZY, Aviador C. Campos Airport
SBAA, Conceicao do Araguaia Airport
SBAE, Bauru-Arealva Airport
SBAF, Campo Delio Jardim de Mattos Airport
SBAM, Amapa Airport
SBAN, Base Aerea Airport
SBAQ, Araraquara Airport
SBAR, Santa Maria Airport
SBAS, Marcelo Pires Halzhausen Airport
SBAT, Alta Floresta Airport
SBAU, Aracatuba Airport
SBAX, Araxa Airport
SBBE, Val de Cans/Julio Cezar Ribeiro International Airport
SBBG, Comandante Gustavo Kraemer Airport
SBBH, Pampulha - Carlos Drummond de Andrade Airport
SBBI, Bacacheri Airport
SBBP, Aeroporto Estadual Arthur Siqueira Airport
SBBQ, Major Brigadeiro Doorgal Borges Airport
SBBR, Presidente Juscelino Kubistschek International Airport
SBBT, Chafei Amsei Airport
SBBU, Bauru Airport
SBBV, Atlas Brasil Cantanhede Airport
SBBW, Barra do Garcas Airport
SBBZ, Umberto Modiano Airport
SBCA, Cascavel Airport
SBCB, Cabo Frio Airport
SBCC, Cachimbo Airport
SBCD, Cacador Airport
SBCF, Tancredo Neves International Airport
SBCG, Campo Grande Airport
SBCH, Chapeco Airport
SBCI, Brig. Lysias Augusto Rodrigues Airport
SBCJ, Carajas Airport
SBCM, Forquilhinha - Criciuma Airport
SBCN, Caldas Novas Airport
SBCO, Canoas Airport
SBCP, Bartolomeu Lisandro Airport
SBCR, Corumba International Airport
SBCT, Afonso Pena Airport
SBCV, Caravelas Airport
SBCX, Campo dos Bugres Airport
SBCY, Marechal Rondon Airport
SBCZ, Cruzeiro do Sul Airport
SBDB, Bonito Airport
SBDN, Presidente Prudente Airport
SBEG, Eduardo Gomes International Airport
SBEK, Jacareacanga Airport
SBEP, Espinosa Airport
SBES, Sao Pedro da Aldeia Airport
SBFI, Cataratas International Airport
